	TexTerm_Beltra_RNA_rep1	TexTerm_Beltra_RNA_rep2	TexTerm_Beltra_RNA_rep3	TexTerm_Hudson_RNA_rep1	TexTerm_Hudson_RNA_rep2	TexTerm_Hudson_RNA_rep3	TRM_IEL_1_RNA_rep1	TRM_IEL_1_RNA_rep2	TRM_IEL_2_RNA_rep1	TRM_IEL_2_RNA_rep2	TRM_liver_RNA_rep1	TRM_liver_RNA_rep2	TRM_lung_A_RNA_rep1	TRM_lung_A_RNA_rep2	TRM_lung_A_RNA_rep3	TRM_lung_I_RNA_rep1	TRM_lung_I_RNA_rep2	TRM_lung_I_RNA_rep3
Gm7470	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	1	0	0
Rps2-ps2	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	1
Gm38216	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	5	1	0
Sntg1	0	0	0	0	0	0	1	0	1	0	0	0	25	17	33	12	24	1
Gm38024	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
Gm16284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38259	0	0	0	0	0	0	0	1	0	0	0	0	14	20	28	16	10	1
Gm23358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37005	0	0	0	0	0	0	0	0	0	0	0	0	2	4	4	7	4	0
Gm15452	1.62	1.2	1.79	14.58	12.9	38.15	1.76	0.06	2.23	7.57	47.16	21.29	0	0	0	0	0	13.42
Gm36964	0	0	0	0	0	0	0	0	4.83	0	0	0	0	0	0	0	0	0
Gm24276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37629	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	4	1	2
Gm38008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37143	0	0	0	0	0	0	0	0	0	0	0	0	5	8	12	0	0	0
Gm6187	0	0	0	0	0	0	1.03	0	0	2.1	0	0	0	0	0	0	0	0
Gm18299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gm7512	0	0	0	0	0	0	1.06	0	0	0	0	0	1	1	3	2	0	1
Gm24765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm18300	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0
Rrs1	66	69	67	343	266	327	46	30	141.94	118	448	498	72	62	100	62	119	123
Adhfe1	0	0	1	2	7	3	0	0	3	0	4	5	0	0	0	0	1	0
2610203C22Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	5	0	2
Gm6161	0	0	0	0	0	0	0	0	0	0	0	0	13.2	6.62	0	4.77	0	0
3110035E14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	1	1
Gm29520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mybl1	0	0	0	8	1	9	5	3	0	0	138	81	8	9	5	3	3	0
Vcpip1	433	366	169	1443.23	1412.15	1224.38	181	104	183	119	3364.53	3528.16	170	173	189	195	332	300
1700034P13Rik	32	24	9	12.77	16.85	25.62	12	6	24	17	2.47	6.84	11	11	12	19	25	25
Sgk3	7	6	13	147	172	201	42	17	6	13	182	106	32	20	36	55	32	58
Gm6195	0	0	0	0	0	0	0	0	0	0	1.46	0	0	0	0	0	0	1
Gm22607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcmdc2	0	0	0	0	0	0	0	3	0	0	2	0	4	4	8	6	5	1
Snhg6	3	6	1	73	62	84	72	31	70	50	238	187	23	9	21	26	43	47
Snord87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tcf24	0	0	0	3	1	1	0	0	0	0	1	1	0	5	3	0	0	0
E330040D14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r42	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Gm15818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cops5	122	128	89	619	651	741	141	94	126	132	926	908	115	94	156	109	197	203
Cspp1	34	31	19	211	205	202	64	49	55	34	777	749	49	53	71	66	68	65
1700047N06Rik	0	0	0	1	0	0	0	0	0	0	0	0	3	0	2	0	0	0
Arfgef1	364	294	202	3497	2924	3038	100	105	88	57	6504	6656	223	226	256	194	414	285
Gm26348	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0
Gm37569	0	0	1	6	5	2	1	0	5	2	2	0	2	3	4	0	2	6
Cpa6	0	0	0	0	0	0	0	0	1	0	0	0	35	30	38	12	9	1
Gm38005	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
Gm15604	0	0	0	0	0	0	1.01	2.04	2.03	1.01	0	0	8	4	1	0	0	0
Gm25253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37133	0	0	0	0	0	0	0	0	1	0	0	0	1	3	2	1	0	0
Gm5522	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0
Gm28659	0	0	0	0	0	0	0	0	3.87	0	0	0	0	0	0	0	0	0
Gm22963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prex2	1	1	1	0	0	0	7	11	21	9	19	7	11	9	12	7	2	4
Gm24173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37410	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	9	0	0
A830018L16Rik	0	0	0	0	0	0	0	0	0	1	0	0	7	11	9	2	5	2
Gm38178	0	0	0	0	0	0	0	0	0	0	0	0	11	5	12	1	1	0
Gm29273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Gm38069	0	0	0	0	0	0	0	0	0	0	0	0	10	4	14	4	8	2
Gm7560	0	0	0	0	0	0	0	0	0	0	0	0	14.04	10	5	3	0	1
Gm22633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir6341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2383	0	0	0	0	2	0	0	2	1	0	0	0	0	0.99	0	0	0	0
Gm6216	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Gm17644	0	0	0	0	0	0	0	0	0	0	0	0	4	2	4	2	0	0
Gm29663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Sulf1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0
Slco5a1	0	0	0	9	4	0	0	2	0	0	3	1	3	10	7	80	3	0
Gm37162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prdm14	0	0	0	1	0	0	0	0	0	0	0	2	0	3	0	1	1	0
Ncoa2	268	157	144	2136	1853	1531	287	122	454	442	5695	5815	110	127	134	151	232	319
Gm38376	1	4	0	16	8	5	8	2	9	5	3	4	1	9	6	4	2	10
Gm37409	0	0	1	12	10	3	0	6	4	8	0	0	5	4	1	4	4	1
Gm27881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38223	0	2	0	0	4	1	0	1	2	4	1	0	1	0	0	0	1	0
Gm37702	1	3	0	2	4	0	2	2	3	5	1	2	0	2	0	1	0	3
Gm23169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38120	5	3	2	30	10	20	32	4	26	19	6	10	16	18	7	8	12	10
Gm38380	1	4	2	12	14	26	7	6	22	10	10	5	5	10	10	5	19	4
Gm29570	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0
Gm7593	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Tram1	1093	1316	1030	6546	5952	5872	790	519	256	207	6291	5884	566	473	595	524	1302	1396
Lactb2	20	22	19	176	160	181	42	44	40	35	585	627	44	41	45	30	51	47
Gm38319	0	4	2	19	11	16	1	2	2	5	20	15	7	4	4	7	0	5
Xkr9	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0
Gm26273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5523	0	0	0	0	0	2	1.46	0	1	0	0	1	0	0	0	3	0	0
Gm36947	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	3	0	0
Gm25491	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Gm37400	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	2	0	0
Eya1	0	0	0	0	0	0	0	0	0	1	1	0	4	10	6	6	1	0
Gm22616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37444	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0
Gm9947	0	0	0	0	0	0	0	0	0	0	2	0	0	3	5	3	1	2
Msc	1	0	2	10	14	14	0	1	0	5	33	28	22	6	12	10	18	9
Gm37412	0	0	0	0	0	0	0	0	0	0	6	1	23	20	11	8	0	0
Smt3h2-ps4	12.84	0	0	0	8.36	8.17	0	0	0	0	0	0	0	5.75	7.03	13.96	10.82	16.54
Rpl5-ps1	0	0	0	0	0	0	5.13	3.05	11.87	3.12	0	5.41	1.85	0	1.52	0	0	0
Trpa1	0	0	0	0	0	5	0	0	0	0	0	1	2	0	1	6	1	5
Gm26345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10566	0	0	0	0	0	0	2	0	1.14	3	0	0	0	0	0	0	0	1.55
Kcnb2	0	0	0	0	0	0	0	0	0	0	0	0	7	20	11	4	0	4
Gm38116	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0
Gm37138	0	0	0	0	0	0	0	3	0	0	4	0	8	9	8	2	0	1
Gm25227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terf1	91	114	83	504	466.98	534.41	92	43	76	71	639	731	76	93	74	71	120	102
Gm37509	0	0	0	1	0	0	0	1	0	0	19.13	18.95	0	1	0	1	1	0
Sbspon	0	0	0	0	2	0	1	0	0	0	4.87	2.05	0	1	0	0	0	0
Gm23259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7634	0	0	0	0	0	0	2.01	3.03	5.04	2.24	0	0	0	1	0	0	0	0
4930444P10Rik	0	0	0	0	0	1	0	1	0	0	0	0	3	6	0	1	0	0
Rpl7	660.81	635.75	470	3968.77	3754.95	4151.51	3600.08	2626.83	7057.63	7046.06	20869.95	21924.04	833.26	784.98	1211.4	1024.03	1668.4	1976.39
Rdh10	45	43	32	225	211	212	38	9	38	24	533	722	15	14	15	17	18	13
Gm38249	0	0	0	2	0	1	0	0	0	0	2	0	2	5	3	0	0	3
Gm28095	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Stau2	4	5	2	3	1	10	1	0	2	0	40	56	5	3	1	2	7	0
Gm7568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2w	43	63	40	400	346	406	105	21	56	58	542	522	48	33	80	57	57	101
Gm38342	0	0	1	1	0	1	0	0	0	0	0	0	3	1	0	2	3	8
Tceb1	115	127	92	754	638	791	141.17	110	104.21	105.36	981	963	87	91	122	160	240	255
D030040B21Rik	0	0	0	0	0	0	0	0	1	0	0	0	1	2	6	2	0	0
Gm7654	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Tmem70	85	63	64	436	349	441	89	52	111	57	459	488	55	41	65	75	81	73
Ly96	3	6	10	25	13	36	10	2	6	0	27	14	4	4	2	20	4	17
Gm29649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5828	0	0	0	3.11	0	1.04	0	0	0	0	0	0	0	1.01	1.01	0	0	1
Gm28376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4921511E07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jph1	0	0	0	0	0	0	0	0	0	0	0	0	7	23	17	4	0	0
Gm28783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Gdap1	0	0	0	0	0	0	2	0	0	0	0	0	23	39	36	21	5	1
Gm28784	0	0	0	0	0	0	0	1	0	0	0	0	1	4	2	0	0	1
Gm28785	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0
Gm5251	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Rbm6-ps1	0	0	0	1.01	2.02	1	0	1.11	0	1.13	22.37	11.17	2.02	5.04	0	0	0	1.01
Gm6075	0	0	0	0	0	0	3.13	0	5.22	1.05	0	0	3	2	0	2	1	0
Gm25166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pi15	0	0	0	0	0	3	1	0	0	0	1	6	9	15	9	7	5	1
Gm28154	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	1	1	0
Gm16070	0	0	0	0	0	0	0	2	0	0	0	0	14	8	11	12	0	0
Crispld1	0	0	0	0	0	0	0	0	1	0	0	0	7	2	6	2	0	1
Gm28153	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	2	0	0
Gm7690	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
Gm18775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5	0
Gm28755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crisp4	0	0	0	0	0	0	0	0	0	0	0	0	6	10	1	4	0	1
Defb44-ps	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Defb18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb41	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Gm17837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Gm29006	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Gm5252	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Gm24075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28344	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Gm15825	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0
Tfap2d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Gm10075	0	0	0	2.61	0	1.85	0	2.85	0	0	0	0	0	0	0	0	0	0
Tfap2b	0	0	0	0	0	0	3	0	0	0	2	0	1	0	0	1	0	0
Gm28340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm4849	1	0	0	1	0	0	0	0	0	0	1.01	0	0	0	2	0	0	0
Gm24633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38382	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0
Pkhd1	0	0	0	0	0	0	0	2	0	2	0	0	30	27	25	10	3	8
Gm37315	0	0	0	0	0	0	5	0	0	0	0	0	6	8	4	0	0	0
4930486I03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15795	0	0	0	0	0	0	5.06	0	0	1.42	0	1.02	4.02	1	3.01	0	1	0
Gm24162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28653	0	0	0	0	0	0	0	0	0	4	0	0	11	3	0	2	2	1
Mir133b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il17a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Il17f	0	0	0	0	0	1	0	0	0	2	6	0	0	5	0	1	0	0
Mcm3	506	397	325	2337	1665	1999	402	287	234	294	1578	1491	74	39	100	147	220	234
Gm20587	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0
Gm28065	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Gm24723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6720483E21Rik	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
Paqr8	8	3	9	52	42	20	0	0	1	13	75	90	11	8	7	9	29	11
Gm24171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Efhc1	0	0	0	0	1	0	0	0	0	0	1	6	1	5	0	0	0	2
Tram2	18	15	9	145	156	145	17	19	17	32	311	362	12	13	6	10	16	12
Gm28287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem14a	8	3	7	26	31	27	5	8	13	28	50	35	4	2	5	6	5	8
Gm38224	0	0	0	3	0	0	0	1	2	0	0	1	0	1	0	0	0	0
Gsta3	0	0	0	4	4	1	0	0	0	0	22	35	2	18	1	4	0	0
Gm28836	0	0	1	2	4	1	0	0	0	0	0	0	0	1	0	0	0	0
Gm7094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm4956	77	68	29	2390	2142	2606	2	0	10	9	598	908	1	1	1	2	0	2
Gm21909	0	0	0	7	5	8	0	0	0	0	0	3	0	0	0	0	0	0
Khdc1a	0	0	0	0	0	0	0	0	0	0	8	4	1	1	0	0	0	0
Gm16329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16327	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Khdc1c	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	1	0	0
Gm2709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Khdc1b	0	0	0	0	0	1	0	0	0	0	0	0	4	5	4	2	1	0
Gm16328	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Kcnq5	1	0	1	12.58	18	13.54	0	3	0	0	51	42	3	4	4	1	2	2
Gm36949	0	0	0	0	0	0	1	1	0	0	0	0	2	8	7	6	1	0
Gm7658	1.05	0	0	4.83	3.28	1.11	15.06	3.82	9.77	7.41	4.54	7.93	2.07	2.15	4.15	3.17	2.09	3.14
Gm38243	0	0	0	0	0	0	0	2	0	0	0	0	20	23	16	4	2	1
Gm26580	1	0	2	5.42	3	6.46	0	0	0	0	0	0	0	1	0	1	2	1
Gm5696	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Gm28239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Rims1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0	0
Gm26866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
